name,age,gender,Name Rank,Extraversion,Agreeableness,Conscientiousness,Emotional Stability,Openness to Experience,Run Number,Time Step,Response,slight_cough,cough_and_fever,Daily New Cases Day 4
Marcia,46,0,0.72,1,1,0,0,0,1,0,0,0,0,0
Grant,23,1,0.645,1,0,0,1,1,1,0,0,0,0,0
Jai,29,1,0.043,1,0,1,1,1,1,0,0,0,0,0
Salma,65,0,0.116,0,1,0,0,0,1,0,0,0,0,0
Melina,39,0,0.071,0,0,1,0,0,1,0,0,0,0,0
Dena,52,0,0.119,0,0,0,1,0,1,0,0,0,0,0
Zoe,45,0,0.545,1,0,1,0,1,1,0,0,0,0,0
Yung,20,1,0.214,0,1,1,1,1,1,0,0,0,0,0
Kylie,51,0,0.442,0,0,1,1,0,1,0,0,0,0,0
Bradley,57,1,0.662,0,0,0,1,0,1,0,0,0,0,0
Jacquelyn,21,0,0.082,0,1,1,1,1,1,0,0,0,0,0
Vivek,38,1,0.187,0,1,0,1,1,1,0,0,0,0,0
Jada,18,0,0.317,1,1,0,0,0,1,0,0,0,0,0
Colleen,60,0,0.726,1,1,0,0,1,1,0,0,0,0,0
May,54,0,0.473,0,1,1,0,0,1,0,0,0,0,0
Randi,27,0,0.216,0,0,1,0,0,1,0,0,0,0,0
Kiana,23,0,0.013,1,0,1,1,0,1,0,0,0,0,0
Julie,58,0,0.967,0,0,1,0,0,1,0,0,0,0,0
Katia,49,0,0.266,1,0,0,0,1,1,0,0,0,0,0
Lazaro,19,1,0.559,1,1,0,1,0,1,0,0,0,0,0
Vijay,26,1,0.436,0,1,1,1,0,1,0,0,0,0,0
Kiki,37,0,0.252,1,0,1,0,0,1,0,0,0,0,0
Vickie,19,0,0.534,1,1,0,1,1,1,0,0,0,0,0
Audrey,27,0,0.714,1,0,0,0,0,1,0,0,0,0,0
Ariana,43,0,0.614,1,1,1,1,0,1,0,0,0,0,0
Ubaldo,30,1,0.004,0,1,1,1,0,1,0,0,0,0,0
Josephine,41,0,0.506,0,1,1,0,1,1,0,0,0,0,0
Bryant,37,1,0.498,1,0,0,0,0,1,0,0,0,0,0
Jessie,27,0,0.769,0,1,0,0,1,1,0,0,0,0,0
Sergey,22,1,0.067,0,1,1,1,1,1,0,0,0,0,0
Ronnie,27,1,0.706,0,0,1,1,1,1,0,0,0,0,0
Reginald,29,1,0.537,0,0,0,0,0,1,0,0,0,0,0
Ethan,39,1,0.78,1,1,0,0,0,1,0,0,0,0,0
Robyn,49,0,0.53,1,0,0,1,0,1,0,0,0,0,0
Caroline,64,0,0.815,1,0,0,1,1,1,0,0,0,0,0
Martinez,49,1,0.345,0,0,1,1,1,1,0,0,0,0,0
Joaquin,37,1,0.621,1,0,1,0,1,1,0,0,0,0,0
Tim,51,1,0.941,0,1,1,0,0,1,0,0,0,0,0
Brennan,46,1,0.045,1,0,1,0,1,1,0,0,0,0,0
Kerri,18,0,0.226,0,1,1,1,1,1,0,0,0,0,0
Cristal,65,0,0.263,1,0,1,0,1,1,0,0,0,0,0
Solomon,52,1,0.33,1,1,0,0,1,1,0,0,0,0,0
Madeleine,38,0,0.016,0,0,0,1,1,1,0,0,0,0,0
Cam,20,1,0.325,1,1,0,0,1,1,0,0,0,0,0
Ross,45,1,0.629,0,1,1,1,1,1,0,0,0,0,0
Forrest,21,1,0.056,0,1,0,0,1,1,0,0,0,0,0
Jamal,63,1,0.599,1,0,0,0,0,1,0,0,0,0,0
Jc,57,1,0.584,0,1,0,0,0,1,0,0,0,0,0
Darnell,31,1,0.315,0,0,1,0,1,1,0,0,0,0,0
Imelda,49,0,0.47,1,1,1,1,1,1,0,0,0,0,0
Kaleb,64,1,0.332,0,1,0,0,0,1,0,0,0,0,0
Berenice,35,0,0.349,1,0,1,1,1,1,0,0,0,0,0
George,58,1,0.938,1,1,0,0,0,1,0,0,0,0,0
Elder,38,1,0.086,1,1,0,0,1,1,0,0,0,0,0
Mariah,63,0,0.628,0,1,0,0,0,1,0,0,0,0,0
Stuart,46,1,0.505,0,0,0,1,0,1,0,0,0,0,0
Mitchell,22,1,0.633,1,1,0,0,1,1,0,0,0,0,0
Alvin,24,1,0.588,1,0,0,0,0,1,0,0,0,0,0
Harley,23,1,0.255,0,0,1,0,1,1,0,0,0,0,0
Santa,54,0,0.12,0,1,1,1,1,1,0,0,0,0,0
Kai,65,1,0.385,1,1,1,0,1,1,0,0,0,0,0
Dawn,40,0,0.877,0,0,0,0,1,1,0,0,0,0,0
Garcia,42,1,0.367,0,1,0,1,1,1,0,0,0,0,0
Wendell,39,1,0.074,1,0,1,0,0,1,0,0,0,0,0
Jazmin,64,0,0.604,0,0,1,1,0,1,0,0,0,0,0
Devin,50,1,0.74,0,0,0,1,0,1,0,0,0,0,0
Judi,38,0,0.126,1,1,0,0,0,1,0,0,0,0,0
Sanchez,26,1,0.005,0,1,0,0,0,1,0,0,0,0,0
Ginger,32,0,0.417,1,1,1,1,1,1,0,0,0,0,0
Braden,53,1,0.07,0,1,0,0,1,1,0,0,0,0,0
Lenny,41,1,0.377,1,1,0,1,0,1,0,0,0,0,0
Syed,46,1,0.533,0,0,1,1,1,1,0,0,0,0,0
Valentin,19,1,0.512,1,1,0,0,0,1,0,0,0,0,0
Terrell,33,1,0.348,1,1,0,0,1,1,0,0,0,0,0
Sandeep,38,1,0.396,0,1,0,1,0,1,0,0,0,0,0
Mac,41,1,0.398,0,1,0,0,1,1,0,0,0,0,0
Emanuel,22,1,0.571,0,1,0,0,1,1,0,0,0,0,0
Darla,39,0,0.044,0,0,0,1,0,1,0,0,0,0,0
Alonso,28,1,0.578,1,0,0,1,1,1,0,0,0,0,0
Samira,62,0,0.077,1,1,0,1,1,1,0,0,0,0,0
Rena,36,0,0.064,0,1,0,0,0,1,0,0,0,0,0
Haydee,18,0,0.154,0,0,0,0,0,1,0,0,0,0,0
Lance,42,1,0.654,1,0,0,1,1,1,0,0,0,0,0
Tabitha,34,0,0.337,1,1,0,0,0,1,0,0,0,0,0
Janelle,29,0,0.426,0,1,1,0,1,1,0,0,0,0,0
Janice,32,0,0.81,0,0,1,1,0,1,0,0,0,0,0
Marjorie,36,0,0.42,1,0,1,1,0,1,0,0,0,0,0
Stewart,52,1,0.03,0,0,0,0,1,1,0,0,0,0,0
Flor,50,0,0.724,0,1,0,0,1,1,0,0,0,0,0
Teresa,49,0,0.955,0,1,0,0,1,1,0,0,0,0,0
Melanie,56,0,0.866,0,0,0,1,0,1,0,0,0,0,0
Nacho,43,1,0.235,0,1,1,0,0,1,0,0,0,0,0
Katrina,25,0,0.653,0,0,1,1,1,1,0,0,0,0,0
Hillary,55,0,0.275,1,0,1,1,0,1,0,0,0,0,0
Billy,30,1,0.828,1,0,0,0,0,1,0,0,0,0,0
Carlos,46,1,0.995,1,0,0,1,1,1,0,0,0,0,0
Deb,28,0,0.636,1,0,0,1,0,1,0,0,0,0,0
Sarita,31,0,0.009,0,1,0,1,0,1,0,0,0,0,0
Jacqueline,65,0,0.87,0,1,1,0,1,1,0,0,0,0,0
Jake,59,1,0.889,0,1,0,1,0,1,0,0,0,0,0
Heriberto,27,1,0.503,1,0,0,1,0,1,0,0,0,0,0
Damaris,39,0,0.433,0,0,1,1,0,1,0,0,0,0,0
Kate,61,0,0.879,0,1,0,0,0,1,0,0,0,0,0
Ana Maria,62,0,0.229,0,0,0,1,1,1,0,0,0,0,0
Alli,27,1,0.068,0,0,1,1,0,1,0,0,0,0,0
Tatyana,25,0,0.128,1,0,0,0,1,1,0,0,0,0,0
Duane,25,1,0.5,1,1,1,1,0,1,0,0,0,0,0
Igor,54,1,0.386,1,0,1,0,1,1,0,0,0,0,0
Flaco,29,1,0.152,0,1,1,0,1,1,0,0,0,0,0
Anton,37,1,0.283,1,0,0,1,1,1,0,0,0,0,0
Benjamin,19,1,0.851,0,1,1,1,1,1,0,0,0,0,0
Gloria,45,0,0.96,0,1,1,1,0,1,0,0,0,0,0
Marisol,24,0,0.812,1,0,1,0,1,1,0,0,0,0,0
Harrison,61,1,0.389,1,0,0,1,0,1,0,0,0,0,0
Priscilla,39,0,0.694,0,1,1,0,0,1,0,0,0,0,0
Dayana,58,0,0.306,0,1,1,0,1,1,0,0,0,0,0
Ángel,48,1,0.359,0,0,0,1,1,1,0,0,0,0,0
Laura,59,0,0.991,1,0,0,0,1,1,0,0,0,0,0
Marian,26,0,0.431,1,1,1,0,0,1,0,0,0,0,0
Barb,24,0,0.535,1,1,0,1,1,1,0,0,0,0,0
Carter,44,1,0.412,1,1,1,1,0,1,0,0,0,0,0
Vilma,31,0,0.548,1,0,1,0,0,1,0,0,0,0,0
Alexia,56,0,0.27,0,1,1,0,1,1,0,0,0,0,0
Gaby,63,0,0.735,1,0,0,0,1,1,0,0,0,0,0
Mirian,46,0,0.276,1,1,0,1,1,1,0,0,0,0,0
Cara,47,0,0.448,0,0,1,1,0,1,0,0,0,0,0
Jason,65,1,0.982,0,0,1,1,0,1,0,0,0,0,0
Travis,35,1,0.842,0,0,1,1,0,1,0,0,0,0,0
Miles,29,1,0.413,1,0,0,1,1,1,0,0,0,0,0
Daniel,48,1,0.991,0,1,0,1,0,1,0,0,0,0,0
Tiana,58,0,0.055,0,1,0,0,1,1,0,0,0,0,0
Faustino,20,1,0.106,0,1,0,1,0,1,0,0,0,0,0
John,28,1,0.997,1,0,1,1,0,1,0,0,0,0,0
Jojo,50,0,0.382,0,1,0,1,0,1,0,0,0,0,0
Salomon,23,1,0.132,0,1,0,1,0,1,0,0,0,0,0
Isabella,56,0,0.677,1,0,0,0,0,1,0,0,0,0,0
Cameron,62,1,0.787,1,0,1,1,1,1,0,0,0,0,0
Cj,33,1,0.639,1,0,0,0,0,1,0,0,0,0,0
Theodore,30,1,0.173,1,1,0,1,0,1,0,0,0,0,0
Ileana,62,0,0.186,1,1,1,0,1,1,0,0,0,0,0
Buddy,59,1,0.242,0,1,0,1,0,1,0,0,0,0,0
Mireya,27,0,0.452,1,1,0,1,0,1,0,0,0,0,0
Scotty,33,1,0.15,0,1,0,0,0,1,0,0,0,0,0
Mayra,50,0,0.869,1,0,0,0,0,1,0,0,0,0,0
Rae,63,0,0.081,1,1,0,1,1,1,0,0,0,0,0
Gregorio,34,1,0.558,1,0,0,1,0,1,0,0,0,0,0
Clayton,49,1,0.543,0,0,0,0,0,1,0,1,0,0,0
Rocky,57,1,0.455,1,0,1,1,0,1,0,0,0,0,0
Nestor,19,1,0.587,1,1,1,1,1,1,0,0,0,0,0
Skyler,62,1,0.388,1,0,0,1,1,1,0,0,0,0,0
Eliza,18,0,0.469,1,1,1,0,1,1,0,0,0,0,0
Emmanuel,28,1,0.773,1,0,0,1,0,1,0,0,0,0,0
Elijah,60,1,0.655,1,1,0,0,1,1,0,0,0,0,0
Shan,58,1,0.011,1,0,1,1,1,1,0,0,0,0,0
Beth,60,0,0.88,1,1,0,1,0,1,0,0,0,0,0
Sheldon,57,1,0.277,1,0,1,1,0,1,0,0,0,0,0
Simon,58,1,0.708,1,1,0,1,1,1,0,0,0,0,0
Ari,34,1,0.524,0,0,0,1,1,1,0,0,0,0,0
Allan,56,1,0.628,1,1,0,1,0,1,0,0,0,0,0
Tiffany,38,0,0.933,1,0,0,0,0,1,0,0,0,0,0
Chelsea,22,0,0.799,0,0,1,0,0,1,0,0,0,0,0
Juanito,55,1,0.241,0,0,0,0,0,1,0,0,0,0,0
Gavin,50,1,0.585,0,0,1,1,1,1,0,0,0,0,0
Valentina,51,0,0.522,1,0,0,0,1,1,0,0,0,0,0
Benito,52,1,0.554,0,1,0,0,0,1,0,0,0,0,0
Maria,27,0,1,0,0,0,0,0,1,0,0,0,0,0
Rusty,43,1,0.32,0,1,0,0,1,1,0,0,0,0,0
Ronda,37,0,0.051,0,1,1,0,1,1,0,0,0,0,0
Love,43,0,0.409,1,1,1,1,1,1,0,0,0,0,0
Dean,31,1,0.7,1,0,1,0,1,1,0,0,0,0,0
Kaylee,42,0,0.439,1,0,1,1,0,1,0,0,0,0,0
Margie,39,0,0.512,1,1,0,0,0,1,0,0,0,0,0
Dana,23,0,0.864,1,0,1,0,0,1,0,0,0,0,0
Jarrod,38,1,0.036,0,1,1,1,0,1,0,0,0,0,0
Anderson,47,1,0.408,0,0,0,0,1,1,0,0,0,0,0
Dane,40,1,0.276,0,0,0,1,1,1,0,0,0,0,0
Rosa,59,0,0.976,0,0,1,0,0,1,0,0,0,0,0
Terence,62,1,0.12,1,0,1,0,0,1,0,0,0,0,0
Greg,42,1,0.907,0,1,0,0,0,1,0,0,0,0,0
Mj,23,1,0.297,0,0,0,0,1,1,0,0,0,0,0
Myra,20,0,0.272,0,0,0,0,0,1,0,1,0,0,0
Nery,47,0,0.269,1,1,1,1,1,1,0,0,0,0,0
Tomas,62,1,0.713,1,0,0,0,1,1,0,0,0,0,0
Isabelle,65,0,0.283,1,0,1,0,0,1,0,0,0,0,0
Rosalba,47,0,0.405,1,0,1,0,1,1,0,0,0,0,0
Lynn,34,0,0.846,0,0,0,1,1,1,0,0,0,0,0
Matthew,22,1,0.96,1,0,0,1,1,1,0,0,0,0,0
Zak,38,1,0.125,0,1,1,1,0,1,0,0,0,0,0
Louis,57,1,0.747,1,1,0,0,1,1,0,0,0,0,0
Rey,51,1,0.635,1,1,0,0,0,1,0,0,0,0,0
Kirsten,32,0,0.466,1,1,1,0,0,1,0,0,0,0,0
Mel,58,0,0.549,0,1,1,0,1,1,0,0,0,0,0
Cora,23,0,0.031,0,0,1,0,0,1,0,0,0,0,0
Millie,45,0,0.264,0,1,0,1,1,1,0,0,0,0,0
Emilia,26,0,0.371,0,1,1,1,1,1,0,0,0,0,0
Vladimir,44,1,0.51,0,1,1,1,1,1,0,0,0,0,0
Lawrence,36,1,0.688,1,0,0,1,1,1,0,0,0,0,0
Jorge,63,1,0.984,0,1,1,0,1,1,0,0,0,0,0
Juanita,62,0,0.743,0,0,0,1,1,1,0,0,0,0,0
Ismael,19,1,0.775,0,1,0,0,0,1,0,0,0,0,0
Bernard,51,1,0.568,1,1,0,1,1,1,0,0,0,0,0
Valeria,42,0,0.681,1,0,1,0,0,1,0,0,0,0,0
Leanne,40,0,0.156,1,0,1,0,0,1,0,0,0,0,0
Steph,53,0,0.427,1,1,1,1,1,1,0,0,0,0,0
Kara,40,0,0.654,0,0,1,1,0,1,0,0,0,0,0
Rosita,29,0,0.326,0,0,1,0,0,1,0,0,0,0,0
Edwin,51,1,0.86,0,1,0,0,1,1,0,0,0,0,0
Mario,27,1,0.959,1,0,0,1,1,1,0,0,0,0,0
Nikki,19,0,0.821,1,1,0,0,1,1,0,0,0,0,0
Clinton,31,1,0.279,0,0,1,0,1,1,0,0,0,0,0
Yanet,49,0,0.298,0,1,1,1,1,1,0,0,0,0,0
Randy,43,1,0.868,0,0,0,1,0,1,0,0,0,0,0
Gigi,35,1,0.491,0,1,0,0,1,1,0,0,0,0,0
Dolly,19,0,0.021,1,0,1,0,1,1,0,0,0,0,0
Marquis,52,1,0.08,0,1,1,1,1,1,0,0,0,0,0
Herbert,19,1,0.329,0,0,1,1,0,1,0,0,0,0,0
Tania,56,0,0.713,1,0,0,1,1,1,0,0,0,0,0
Kelley,36,0,0.406,1,1,0,0,0,1,0,0,0,0,0
Andrew,56,1,0.978,0,1,1,1,1,1,0,0,0,0,0
Bruce,48,1,0.803,0,0,0,0,1,1,0,0,0,0,0
Bret,19,1,0.189,0,0,0,1,0,1,0,0,0,0,0
Rebeca,23,0,0.515,1,0,0,1,1,1,0,0,0,0,0
